significant_genes,coef
ABCA13,0.06029350997456372
ABCB5,0.6828352391507402
ABCC11,0.13890864679319945
ACAN,-0.9452363446423865
ADAM21P1,0.3247239439031036
ADAMTS12,0.6488518408574184
ADAMTS16,0.07209499591884218
ADAMTS18,-0.1854752869160542
ADAMTS20,0.44622528323674704
ADCY2,-0.5990349940387176
ADCY8,0.8266192252990668
AFF2,-0.23235500343445772
AHNAK,-0.3251050203331803
AHNAK2,-0.5586964838688593
ANK2,-0.16616224761179282
ANK3,0.08313449527173622
ANKRD30A,0.45621166188395873
APOB,-0.4015350621992067
ASPM,0.199396566444022
ASTN1,0.26704504393017703
ASTN2,-0.28053987757372634
ASXL3,0.6262883724409156
ATP11C,0.16339318104307596
BAGE2,-0.4565041780826035
BAI3,0.9134092224837046
BIRC6,-0.19569982230375613
BRINP3,0.597287358869136
BSN,-0.21415794227602866
C1orf173,0.6566696280300263
C7,0.1101926523301508
CACNA1C,0.22345059777242063
CACNA1E,-0.380525833614281
CACNA1S,0.5361753727844212
CD1E,0.5634754211355221
CDH10,-0.5615992555351591
CDH12,-0.24511342346658765
CDH18,-0.5782011352028855
CDH6,1.3072386981620427
CDH7,-0.2698901849904012
CDH9,-0.36384717020295604
CHL1,1.2622260795272597
CNTNAP2,-0.04938880097936392
CNTNAP5,-0.6458715817362468
COL11A1,0.4397544822163866
COL12A1,-0.039918412568783854
COL21A1,1.1914373912959801
COL22A1,-0.21200617056020224
COL3A1,-0.018851484191355735
COL4A5,-0.49824297996027367
COL5A2,-0.6646816800152043
COL6A3,-0.007169400148621922
COL6A6,0.11187555561632252
CRB1,0.18586983884093305
CSMD1,-0.23693966301189895
CSMD2,-0.43659761221833465
CSMD3,-0.42663419096148303
CTNNA2,-0.5762723267256229
CTNND2,-0.18622541993504518
CUBN,0.0647134905863423
CYP11B2,-0.014901704778334185
DCAF4L2,-0.7985388208834858
DCDC1,0.3612417400219658
DCHS1,0.5519622813516114
DLGAP2,-0.41140909346107213
DMBT1,-1.0996376390126104
DMD,-0.4822680551321522
DNAH11,-0.532131278522318
DNAH17,0.4493698513620571
DNAH3,-0.23648584012530907
DNAH5,-0.4444694293055306
DNAH7,0.6202675113700734
DNAH8,-0.19337632693514487
DNAH9,0.30900106181035747
DOCK2,-0.16766159107205078
DPP6,-0.7169060846621111
DSCAM,-0.7480261955560896
DSG3,-0.6543766306740249
DST,0.8343200520470364
DUSP27,-0.9191227221270161
DYSF,0.3569596918237061
EGFR,-0.145049578364353
EPHA3,-1.0109625580272827
EPHB6,-0.9350781741417791
F5,1.8413133307078566
FAM135B,-0.592882905460556
FAM47A,-0.3154274886338625
FAM47B,-0.19961253203723942
FAM47C,-0.41490504506651216
FAM83B,0.0006596589874145296
FAT1,-0.09379468232698113
FAT2,-0.163644650759254
FAT3,0.504264440833852
FAT4,-0.08533011917668959
FBN2,0.09825785787877137
FBXL7,0.19335174335803482
FCGBP,0.22168880695989784
FER1L6,-0.4112288733520349
FHOD3,-0.3340939186299528
FLG,0.1606458835347995
FLG2,-0.45754150357610895
FLNA,0.5233395689113988
FMN2,0.504735701838987
GABRG2,-0.8425404899060734
GPR112,0.12407883964054273
GPR158,-0.5177800097801661
